prices,product_id,product_description,color,department,sub_department,product_type
269.00,472161654,"High-waist trousers. Featuring side pockets and false welt back pockets. Detail of a thin contrast side stripe. Front fastening with zip, inside button and hook.",Brown,WOMAN,,
349.00,472161571,"Long waistcoat with a lapel collar and V-neck. Featuring concealed front pockets in the seam, a tie belt in the same fabric, contrasting fine side stripe detail and covered button fastening at the front.",Brown,WOMAN,,
199.00,458730538,"High-waist Bermuda shorts with a belt and front pockets. Front fastening with zip, inner button and hook.",Navy blue,WOMAN,,
269.00,458729389,"Round neck, long sleeve blazer with shoulder pads. Featuring mock front welt pockets and gold button fastening at the front.",Navy blue,WOMAN,,
269.00,457152505,"Round neck, short sleeve cardigan. Flared hem. Front fastening with matching covered buttons.",Sand,WOMAN,,
219.00,465580043,"High-waist trousers with front darts. Front pockets and false welt pockets at the back. Straight leg. Front fastening with zip, inside button and hook.",Burgundy,WOMAN,,
369.00,465579784,Sleeveless blazer with long sleeves and shoulder pads. Featuring front jetted pockets and single-button fastening at the front.,Burgundy,WOMAN,,
269.00,463486708,High-waist trousers with front darts. Front pockets and false welt pocket at the back. Wide leg. Front zip and button fastening.,Sky blue,WOMAN,,
219.00,463486746,Halter neck waistcoat with lapels and open back. Double-breasted button fastening. Front flaps.,Sky blue,WOMAN,,
129.00,457859729,Sweatshirt made from a cotton-blend knit. Featuring a round neck and long sleeves. Matching ribbed trims.,Navy blue,WOMAN,,
299.00,462007964,Blazer with a round neck and long sleeves. Featuring mock front welt pockets and a double-breasted button fastening at the front.,Ecru,WOMAN,,
219.00,458771147,High-waist cropped trousers with chain belt. False flap pockets on the back. Straight leg. Side zip fastening concealed in the seam.,Ecru,WOMAN,,
299.00,465174766,V-neck wrap dress with sleeveless design and pleats at the shoulders. Featuring a belt detail and contrasting satin fabric. Side zip fastening concealed in the seam.,Black,WOMAN,,
189.00,465579442,"High-waist trousers with pronounced seam detail on the front and back. Front welt pockets. Front fastening with zip, inside button and metal hook.",White,WOMAN,,
169.00,477256480,"Striped poplin shirt with a Johnny collar, long sleeves and a V-neck. Button-up front.",Ecru / Red,WOMAN,,
269.00,456204410,MID-WAIST - BAGGY FOLDED Mid-waist jeans with five pockets. Hems with folded finish. Front zip and metal button fastening.,Navy blue,WOMAN,,
299.00,463531650,Faux leather bomber jacket with a lapel collar and long sleeves finished with buttoned cuffs. Welt pockets on the front. Elasticated hem. Zip-up front with a metal zip.,Black,WOMAN,,
49.00,452728474,Vest top with a round neckline and ribbed trims.,White,WOMAN,,
189.00,455252539,HIGH-WAIST - CROPPED High-waist jeans with five pockets. Cropped bell bottom hem with a seamless finish. Front zip fly and metal button fastening.,Navy blue,WOMAN,,
