prices,product id,product description,color,pdp_url,department,sub department,product type
169.00,455321208,Relaxed fit mid-waist trousers with an elastic waistband and adjustable drawstrings. Side pockets. Wide-leg design and flared hems. Available in several colours.,"Black,Dark grey",https://www.stradivarius.com/ae/relaxed-fit-flared-trousers-with-drawstrings-l08270421,,,
75.00,455321206,,Khaki,https://www.stradivarius.com/ae/metal-sunglasses-l03873903,,,
269.00,455178245,"Low-rise jeans with belt loops. Featuring front pockets, back patch pockets with raised star details, a super wide-leg design and zip fly and metal top button fastening.","BLACK DENIM WASHED EFFECT ",https://www.stradivarius.com/ae/lowwaist-wideleg-jeans-with-stars-l04860835,,,
169.00,455178211,Plain knit cardigan with a round neck and long sleeves. Ribbed trims. Button-up front. Available in several colours.,"Grey melange,Black",https://www.stradivarius.com/ae/buttonup-knit-cardigan-l08533650,,,
149.00,455178201,"Long flowing trousers with a wide-leg design, side pocket details and an adjustable waistband featuring matching drawstrings. Available in a range of colours.","Stone,Stone,Black,Dark grey,Burgundy,Brown,Grey melange",https://www.stradivarius.com/ae/long-flowing-smart-trousers-l01235473,,,
169.00,455159201,"Loose-fitting mid-waist smart Bermuda shorts with belt loops. Side pockets, false welt pockets at the back and darts. Front metal hook, inside button and zip fastening.",Brown,https://www.stradivarius.com/ae/smart-bermuda-shorts-with-darts-l04908832,,,
99.00,455110043,,Grey,https://www.stradivarius.com/ae/set-of-2-floral-pins-with-rhinestones-l03294911,,,
169.00,455110032,Fitted collared shirt made of satin fabric. Long sleeves with buttoned cuffs. Button-up front. Available in several colours.,"Ecru,Black,Brown,Dark blue,Bottle green",https://www.stradivarius.com/ae/fitted-satin-shirt-l02002554,,,
169.00,455110023,"Mid-rise jogger trousers made of faded-effect cotton. Featuring an elasticated waistband with matching adjustable drawstrings, side pockets and a straight wide-leg design. Available in several colours.","Bubblegum pink,Purple",https://www.stradivarius.com/ae/faded-straight-fit-joggers-l08740633,,,
149.00,455110022,Loose-fitting sweatshirt made of faded-effect cotton. Featuring a round neck and short sleeves. Available in several colours.,"Bubblegum pink,Purple",https://www.stradivarius.com/ae/fadedeffect-short-sleeve-sweatshirt-l08730639,,,
189.00,454997219,Collared denim shirt with long sleeves and buttoned cuffs. Belt loops and removable contrast belt with metal buckle. Front metal button fastening.,MEDIUM LIGHT BLUE DENIM,https://www.stradivarius.com/ae/denim-shirt-with-belt-l06015825,,,
189.00,454983546,,Red,https://www.stradivarius.com/ae/faux-suede-bucket-bag-with-buckle-l03600901,,,
49.00,454983536,,Black,https://www.stradivarius.com/ae/set-of-2-banana-hair-clips-l03178911,,,
129.00,454983535,,Black,https://www.stradivarius.com/ae/contrast-faux-suede-bag-with-braided-strap-l03660901,,,
299.00,454983532,,Terracotta,https://www.stradivarius.com/ae/leather-halfmoon-bag-l03695901,,,
189.00,454827993,High-waist trousers with belt loops. Side pockets and back patch pockets. Fitted leg and flared split hems. Available in several colours.,"Brown,Burgundy",https://www.stradivarius.com/ae/d74-flare-stretch-slit-trousers-l04804400,,,
189.00,454805608,Loose-fitting mid-rise midi skirt with an elasticated waistband and matching adjustable drawstrings. Available in several colours.,"Brown,Khaki",https://www.stradivarius.com/ae/flowing-midi-skirt-l04733539,,,
189.00,454679574,"Stretch knit cardigan featuring a round neck, long raglan sleeves and ribbed trims. Available in assorted colours.","Brown,0-662,Stone,Black",https://www.stradivarius.com/ae/knit-cardigan-with-buttons-and-raglan-sleeves-l05032400,,,
149.00,454654895,Fitted collared shirt featuring long flowing sleeves and a button-up front. Available in assorted colours.,Black,https://www.stradivarius.com/ae/fitted-shirt-with-flowing-sleeves-l08155205,,,
129.00,454643912,Soft-touch knit sweater with a round neck and long sleeves. Featuring contrast layered-effect trims. Available in assorted colours.,"Stone,Grey melange,Lilac",https://www.stradivarius.com/ae/knit-sweater-with-contrast-trim-l05004702,,,
219.00,454626194,"Hoodie made of a modal blend fabric that provides a very soft feel, featuring long cuffed sleeves and matching snap button fastening at the hem. Available in several colours.","Black,Vanilla,Purple",https://www.stradivarius.com/ae/softtouch-hoodie-with-buttons-l08723277,,,
149.00,454334195,Short plain knit dress with a loose-fitting silhouette and fitted hem. Boat neck and long sleeves with elastic cuffs. Available in several colours.,"Black,Dark grey",https://www.stradivarius.com/ae/short-knit-boat-neck-dress-l08505805,,,
169.00,454334193,Striped knit cropped sweater. Round neck and long sleeves. Ribbed trims. Available in several colours.,"Vanilla,Green,Purple",https://www.stradivarius.com/ae/striped-cropped-knit-sweater-l05040802,,,
