prices,product id,product description,color,department,sub department,product type
299.00,469968221,Oversize jacket made of leather effect fabric. Lapel collar and long sleeves with buttoned cuffs. Side welt pockets. Elasticated hem. Front fastening with metal zip. Available in several colours.,Burgundy,,,
99.00,469968177,,Bubblegum pink,,,
149.00,470763257,Available in several colours.,Khaki,,,
99.00,470763276,Fitted top with thin straps. Featuring a round neckline with buttons and a layered double-layer contrast lace detail.,Grey melange,,,
269.00,470762751,,BEIGE,,,
269.00,470763270,"Oversize, regular length blazer with a straight fit. Lapel collar and long sleeves with buttoned cuffs. False flap pockets on the front. Button-up front.",Dark grey,,,
269.00,470762760,"Oversize, regular length blazer with a straight fit. Lapel collar and long sleeves with buttoned cuffs. False flap pockets on the front. Button-up front. Available in several colours.",Black,,,
299.00,470762761,Short jacket made of leather effect fabric. Lapel collar and long sleeves with elastic cuffs. Chest patch pockets with buttoned flaps and contrast ribbed knit trims. Front metal zip fastening.,Brown,,,
169.00,470762762,Slim fit trousers made of a viscose blend stretch fabric for greater comfort and mobility. Mid-rise with an elasticated waistband. Straight fitted leg. Invisible side zip fastening. Available in several colours.,Navy blue,,,
189.00,470762743,,KHAKI ,,,
149.00,470762775,Basic collared shirt featuring long puff sleeves with buttoned cuffs and a button-up front.,Sky blue,,,
269.00,470762830,"Oversize, regular length blazer with a straight fit. Lapel collar and long sleeves with buttoned cuffs. False flap pockets on the front. Button-up front. Available in several colours.",Black,,,
269.00,470763311,"Oversize, regular length blazer with a straight fit. Lapel collar and long sleeves with buttoned cuffs. False flap pockets on the front. Button-up front. Available in several colours.",Black,,,
169.00,470763312,Mid-rise mini skort with belt loops. Detachable contrast belt with metal buckle. Invisible side zip fastening. Shorts-style lining. Available in several colours. Matching blazer available.,Dark grey,,,
269.00,470762801,,Black,,,
149.00,470762767,Straight fit collared shirt with long sleeves and buttoned cuffs. Featuring a chest patch pocket. Asymmetric hem and a button-up front. Available in several colours.,Sky blue,,,
189.00,470763261,Regular length waistcoat with a V-neck. False jetted pockets on the front. Button-up front. Available in several colours.,Beige,,,
189.00,470763266,"Relaxed fit mid-rise smart trousers with an elasticated waistband at the back and belt loops. Featuring front pockets, front darts, a straight, loose-fitting leg and metal hook, inside button and zip fastening at the front. Available in assorted colours.",Beige,,,
169.00,470762772,"Sweatshirt featuring a high neck with metal zip fastening, long sleeves and ribbed trims. Available in assorted colours.",0-526,,,
149.00,470763269,Basic collared shirt featuring long puff sleeves with buttoned cuffs and a button-up front.,Sky blue,,,
149.00,470762769,Basic collared shirt featuring long puff sleeves with buttoned cuffs and a button-up front.,Sky blue,,,
