unique_id,product_name,grammage_quantity,grammage_unit,regular_price,selling_price,product_description,promotion_valid_upto,image_url,instock,netcontent
3042754689,The Barber & Son Santa Lucia Highlands Chardonnay 750 ml,750,ml,32.99,21.99,"From the windswept vineyards of Monterey's Santa Lucia Highlands, The Barber &amp; Son Santa Lucia Highlands Chardonnay opens with notes of peach, melon and kiwi. It is beautifully balanced with flavors of apricot and vanilla that lead into a long, creamy finish.",['2025-05-31'],https://www.meijer.com/content/dam/meijer/product/0030/42/7546/89/0030427546898_2_A1C1_0200.jpg,inStock,
65135762273,"The Barber & Son Napa Cabernet Sauvignon, 750 ml",750,ml,34.99,29.99,"Aromas of sweet fruits, dark cherry, black berries, licorice and graphite. The mouth has soft palate with silky tannins, blueberries and loam.",['2025-05-31'],https://www.meijer.com/content/dam/meijer/product/0651/35/7622/73/0651357622737_2_A1C1_0200.jpg,inStock,
85274300281,"The Barber & Son Napa Brut Sparkling, 750 ml",750,ml,34.99,29.99,"A pale golden color invites with aromas of tree fruits and baked bread.  The palate, reminiscent of apple and pear tart is broad and fresh with a lingering yeasty complexity.&#x0A;",['2025-05-31'],https://www.meijer.com/content/dam/meijer/product/0852/74/3002/81/0852743002816_2_A1C1_0200.jpg,inStock,
3042754690,"The Barber & Son Santa Lucia Highlands Pinot Noir, 750 ml",750,ml,31.99,25.99,"From the windswept vineyards of Monterey's Santa Lucia Highlands, The Barber &amp; Son Santa Lucia Highlands Pinot Noir opens with notes of dark cherry and strawberry. The wine is delightfully balanced with flavors of pomegranate, Bing cherry and a hint of chocolate that lead to the long finish. .",['2025-05-31'],https://www.meijer.com/content/dam/meijer/product/0030/42/7546/90/0030427546904_2_A1C1_0200.jpg,inStock,
9870933668,"The Barber & Son Alto Adige Pinot Grigio, 750 ml",750,ml,19.99,17.99,"A delicious and Crisp Pinot Grigio from the most famous northern wine region of Italy, the Alto Adige.",['2025-05-31'],https://www.meijer.com/content/dam/meijer/product/0098/70/9336/68/0098709336681_1_A1C1_0200.jpg,inStock,
8500002986,"High Noon Sun Sips Mixed Variety Pack, 12pk, 355ml",355,ml,28.99,22.99,"High Noon Sun Sips is a Flavored Vodka Soda. The Variety 12pk contains all four delicious flavors - Black Cherry, Pineapple, Grapefruit and Watermelon.",['2025-05-31'],https://www.meijer.com/content/dam/meijer/product/0008/50/0002/98/0008500002986_0_A1C1_0200.png,inStock,12 Pack CAN
1820096715,"Michelob ULTRA Superior Light American Lager Beer 24 Pack, 12 fl oz Cans",12,fl,29.99,19.99,"Michelob ULTRA is a superior light beer that is made for those living active and balanced lifestyles. This light lager is brewed with Herkules hops and wholesome grains, creating exceptional taste and a crisp, refreshing finish. Not only is this American beer made with no artificial colors or flavors, but it has just 95 calories and 2.6 grams of carbs per serving; by drinking Michelob ULTRA, you can enjoy a cold beer without compromising your active lifestyle. Enjoy these slim cans of beer during dinner, social gatherings or get-togethers that call for refreshing drinks. The handle on this 24 pack of beer cans makes it easy to transport with you anywhere.",['2025-05-31'],https://www.meijer.com/content/dam/meijer/product/0018/20/0967/15/0018200967153_5_A1C1_0200.jpg,inStock,24 Pack CAN
81153801158,"Jose Cuervo Light White Peach Authentic Margarita, 1.75 L",1.75,L,21.99,13.99,"The world's #1 ready-to-serve margaritas come in many classic, fruity and fun flavors. America's Favorite Ready-to-Drink Margarita, Authentic Cuervo     Margaritas are made exclusively with Jose Cuervo     tequila. The brand offers more than 15 flavors, with innovations like Sangria Margaritas and Cherry Limeade Margarita. The leading brand also offers Cuervo     Light Margaritas with the same great taste as the original, but with fewer than 95 calories per serving. All of the flavor, none of the guilt! (9.95% ABV - 19.9 proof)&#x0A; Same great Cuervo Margarita taste, but with fewer than 95 calories per serving.",['2025-05-31'],https://www.meijer.com/content/dam/meijer/product/0811/53/8011/58/0811538011587_0_A1C1_0200.png,inStock,
81884402141,"1800 Black Cherry the Ultimate Margarita, 1.75 L",1.75,L,26.99,17.99,"1800 The Ultimate Margarita Black Cherry  is created with premium tequila perfectly blended with the flavor of fresh fruit plus extract of lime for a refreshing, crisp bite and tangy finish. Its complex flavor profile boasts macerated berries contrasted by overripe plums and orchard fruit. Sweet orange peel and vanilla persist throughout, fading into lightly smoky tequila and citrus. The ultimate balance of simplicity and sophistication for a margarita at home - Just pour over ice and enjoy!",['2025-05-31'],https://www.meijer.com/content/dam/meijer/product/0818/84/4021/41/0818844021415_1_A1C1_0200.png,inStock,
3410057306,"Miller Lite American Pilsner Light Lager Beer, 4.2% ABV, 24-pack, 12-oz. beer cans",12,,25.99,18.49,"Miller Lite Beer is the original light lager beer. With a smooth, light and refreshing taste, this American-style pilsner beer has 4.2% ABV. Brewed for more taste, this light beer has a light to medium body with a hop-forward flavor, solid malt character, and a clean finish. This case of beer cans makes bringing along tasty drinks easy. Miller Lite is brewed with pure water for great taste; barley malt for flavor and golden color; and Galena and Saaz hops for aroma, flavor, and bitterness. These elements all lend to a consistently great malt beer experience. This light American beer has 96 calories and 3.2 grams of carbs per 12-ounce serving. It is a perfect low-calorie beer to accompany tailgating, barbeques, hanging out with friends and any occasion that would be better with Miller Lite. Miller beer goes well with countless food items such as burgers, grilled shrimp skewers, and whitefish. It&#x1A;s Miller Time.",['2025-05-31'],https://www.meijer.com/content/dam/meijer/product/0034/10/0573/06/0034100573065_1_A1C1_0200.jpg,inStock,24 Pack CAN
1820086031,"Busch Light American Lager Beer 30 Pack, 12 fl oz Cans",12,fl,27.99,20.99,Busch Light is brewed longer to create a lighter body and fewer calories while always delivering that classic taste.,['2025-05-31'],https://www.meijer.com/content/dam/meijer/product/0018/20/0860/31/0018200860317_5_A1C1_0200.jpg,inStock,30 Pack CAN
81153801099,"Jose Cuervo Classic Lime Authentic Margarita, 1.75 L",1.75,L,21.99,13.99,"The world's #1 ready-to-serve margaritas come in many classic, fruity and fun flavors. America's Favorite Ready-to-Drink Margarita, Authentic Cuervo     Margaritas are made exclusively with Jose Cuervo     tequila. The brand offers more than 15 flavors, with innovations like Sangria Margaritas and Cherry Limeade Margarita. The leading brand also offers Cuervo     Light Margaritas with the same great taste as the original, but with fewer than 95 calories per serving. All of the flavor, none of the guilt! (9.95% ABV - 19.9 proof)&#x0A; Classic Margarita is a blend of tequila, and lime with a hint of orange to satisfy!",['2025-05-31'],https://www.meijer.com/content/dam/meijer/product/0811/53/8010/99/0811538010993_0_A1C1_0200.png,inStock,
7199031600,"Coors Light American Light Lager Beer, 4.2% ABV, 24-pack, 12-oz. beer cans",12,,25.99,18.49,"Crisp, clean and refreshing, Coors Light is an American-style light lager beer. This light beer has 4.2% ABV, 102 calories and 5 grams of carbs per 12-ounce serving. Full of Rocky Mountain refreshment, this light-calorie beer provides a light body with clean malt notes and low bitterness. Share this 24-pack of beer with friends and family all year long when you&#x1A;re in need of refreshing drinks. Not only is Coors Light golden beer crafted with pure water, lager yeast, two-row barley malt, and four hop varieties, but it's cold lagered, cold filtered, and cold packaged to deliver an unforgettable beer-drinking experience. A carry case of Coors Light beer cans makes for great party drinks or for tailgating, barbecues, and any holiday that calls for beer. Coors Light American Lager takes pride in its process and ingredients that make it The World&#x1A;s Most Refreshing Beer.",['2025-05-31'],https://www.meijer.com/content/dam/meijer/product/0071/99/0316/00/0071990316006_0_A1C1_0200.jpg,inStock,24 Pack CAN
1820053168,"Bud Light American Lager Beer 24 Pack, 12 fl oz Cans",12,fl,25.99,18.49,"Bud Light is a light-bodied lager with a fresh, clean and subtle hop aroma, delicate malt sweetness and crisp finish for ultimate refreshment.",['2025-05-31'],https://www.meijer.com/content/dam/meijer/product/0018/20/0531/68/0018200531682_2_A1C1_0200.jpg,inStock,24 Pack CAN
