unique_id,product_name,regular_price,selling_price,percentage_discount,breadcrumb,pdp_url,uom
929729,Landliebe joghurt barack készítménnyel 500 g,868.00,868.00,0,"Főoldal>Online áruház>Friss élelmiszer>Tejtermék, tojás, sajt>Joghurtok>Gyümölcs joghurt>Landliebe joghurt barack készítménnyel 500 g",https://auchan.hu/shop/landliebe-joghurt-barack-készítménnyel-500-g.p-929729,g
840956,Landliebe joghurt cseresznye készítménnyel 500 g,869.00,869.00,0,"Főoldal>Online áruház>Friss élelmiszer>Tejtermék, tojás, sajt>Joghurtok>Gyümölcs joghurt>Landliebe joghurt cseresznye készítménnyel 500 g",https://auchan.hu/shop/landliebe-joghurt-cseresznye-készítménnyel-500-g.p-840956,g
875096,Landliebe joghurt mák-marcipán készítménnyel 500 g,869.00,869.00,0,"Főoldal>Online áruház>Friss élelmiszer>Tejtermék, tojás, sajt>Joghurtok>Gyümölcs joghurt>Landliebe joghurt mák-marcipán készítménnyel 500 g",https://auchan.hu/shop/landliebe-joghurt-mák-marcipán-készítménnyel-500-g.p-875096,g
840955,Landliebe joghurt zamatos áfonyával 500 g,869.00,869.00,0,"Főoldal>Online áruház>Friss élelmiszer>Tejtermék, tojás, sajt>Joghurtok>Gyümölcs joghurt>Landliebe joghurt zamatos áfonyával 500 g",https://auchan.hu/shop/landliebe-joghurt-zamatos-áfonyával-500-g.p-840955,g
913754,Auchan Kedvenc gyümölcs joghurt eper-szeder-málna- 8x125 g,989.00,989.00,0,"Főoldal>Online áruház>Friss élelmiszer>Tejtermék, tojás, sajt>Joghurtok>Gyümölcs joghurt>Auchan Kedvenc gyümölcs joghurt eper-szeder-málna- 8x125 g",https://auchan.hu/shop/auchan-kedvenc-gyümölcs-joghurt-eper-szeder-málna--8x125-g.p-913754,g
964885,BAILEYS Snack 4x28 g,1099.00,1099.00,0,"Főoldal>Online áruház>Friss élelmiszer>Tejtermék, tojás, sajt>Joghurtok>Gyümölcs joghurt>BAILEYS Snack 4x28 g",https://auchan.hu/shop/baileys-snack-4x28-g.p-964885,g
441955,Zott Szívecske zsírszegény joghurt 125 g,108.00,108.00,0,"Főoldal>Online áruház>Friss élelmiszer>Tejtermék, tojás, sajt>Joghurtok>Light gyümölcsjoghurtok>Zott Szívecske zsírszegény joghurt 125 g",https://auchan.hu/shop/zott-szívecske-zsírszegény-joghurt-125-g.p-441955,g
520515,Tarka zsírszegény eperízű élőflórás joghurt 125 g,142.00,142.00,0,"Főoldal>Online áruház>Friss élelmiszer>Tejtermék, tojás, sajt>Joghurtok>Light gyümölcsjoghurtok>Tarka zsírszegény eperízű élőflórás joghurt 125 g",https://auchan.hu/shop/tarka-zsírszegény-eperízű-élőflórás-joghurt-125-g.p-520515,g
520516,Tarka zsírszegény sárgabarackízű élőflórás joghurt 125 g,142.00,142.00,0,"Főoldal>Online áruház>Friss élelmiszer>Tejtermék, tojás, sajt>Joghurtok>Light gyümölcsjoghurtok>Tarka zsírszegény sárgabarackízű élőflórás joghurt 125 g",https://auchan.hu/shop/tarka-zsírszegény-sárgabarackízű-élőflórás-joghurt-125-g.p-520516,g
847333,"Zott Jogobella 0% élőflórás, sovány joghurt édesítőszerekkel 150 g",157.00,157.00,0,"Főoldal>Online áruház>Friss élelmiszer>Tejtermék, tojás, sajt>Joghurtok>Light gyümölcsjoghurtok>Zott Jogobella 0% élőflórás, sovány joghurt édesítőszerekkel 150 g",https://auchan.hu/shop/zott-jogobella-0%-élőflórás-sovány-joghurt-édesítőszerekkel-150-g.p-847333,g
